"アルバム名","曲名","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","失墜","2","33","0","98573","129.198","3","10","0","0.975","0.238","0.193","0.948","0.112","-15.591","0.0396","0.308"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","交響詩「死の狂宴」","2","34","0","127893","146.38","4","7","1","0.408","0.256","0.5","0.899","0.507","-7.531","0.035","0.117"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","山河を越えて","2","35","0","103333","94.52","3","2","1","0.00788","0.548","0.829","0.906","0.0813","-12.782","0.0472","0.964"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","癒しの村","2","36","0","81813","91.055","4","7","1","0.814","0.604","0.401","0.598","0.118","-11.587","0.0477","0.662"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","水と木と太陽","2","37","0","90107","107.965","4","2","1","0.21","0.778","0.437","0.21","0.102","-12.754","0.0603","0.177"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ぬくもり","2","38","0","140640","144.82","3","9","0","0.987","0.591","0.212","0.235","0.0555","-11.345","0.03","0.715"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","再生の幻","2","39","0","119173","70.393","3","2","1","0.881","0.266","0.128","0.883","0.107","-15.978","0.0355","0.0497"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","敵か味方か","2","40","0","87773","82.589","1","7","0","0.965","0.214","0.121","0.92","0.148","-11.03","0.0332","0.036"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","シンダル族の跡","2","41","0","134960","141.977","3","0","1","0.125","0.807","0.522","0.79","0.135","-15.819","0.0409","0.903"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","天真天然","2","42","0","67747","137.017","4","0","1","0.531","0.68","0.593","0.582","0.128","-14.77","0.0562","0.961"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","大河と太陽","3","1","0","129320","137.946","4","7","1","0.0141","0.361","0.603","0.358","0.538","-9.308","0.0338","0.486"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","星の塔","3","2","0","122733","101.964","3","0","1","0.74","0.481","0.333","3.66e-05","0.0792","-14.643","0.031","0.213"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ロードレイク再興","3","3","0","84373","83.544","1","7","1","0.622","0.106","0.282","0.119","0.373","-12.499","0.0383","0.0925"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","運命を共に","3","4","0","5947","0.0","0","0","1","0.0","0.0","0.000974","0.0","0.0","-15.306","0.0","0.0"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","3つの島","3","5","0","82427","140.181","4","0","1","0.204","0.442","0.241","0.9","0.124","-11.861","0.0404","0.595"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","絆","3","6","0","117187","169.05","1","11","0","0.908","0.103","0.353","0.816","0.125","-10.159","0.0338","0.0575"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","最終防衛戦","3","7","0","78440","85.901","4","7","1","0.000962","0.179","0.511","0.821","0.333","-8.424","0.0321","0.246"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","なびく勝旗","3","8","0","25827","119.617","3","10","0","0.404","0.414","0.408","0.962","0.122","-9.809","0.0417","0.375"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","砦の街","3","9","0","116333","91.559","3","7","0","0.318","0.548","0.836","0.845","0.156","-12.748","0.037","0.933"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","戦いの予感","3","10","0","94587","142.998","4","7","1","0.619","0.453","0.656","0.795","0.905","-11.162","0.0497","0.0703"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ユーラム・バロウズ推参っ!","3","11","0","74347","77.949","3","7","1","0.521","0.737","0.108","0.0","0.15","-12.88","0.0329","0.85"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","風車のある風景","3","12","0","93213","169.929","3","0","1","0.527","0.527","0.476","6.59e-06","0.222","-12.093","0.0499","0.954"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","耀ける海よ!空よ!再び!","3","13","0","98707","84.904","4","5","1","0.0683","0.163","0.39","0.531","0.221","-10.325","0.0317","0.203"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","灯台のある港街","3","14","0","105627","113.423","4","4","1","0.684","0.47","0.427","0.265","0.185","-12.248","0.0386","0.232"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","群島諸国連合艦隊提督","3","15","0","111853","80.009","3","0","1","0.139","0.606","0.676","0.249","0.331","-10.127","0.0387","0.614"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ニルバ島大灯台","3","16","0","104053","195.874","5","9","0","0.81","0.0865","0.241","0.94","0.276","-12.516","0.0394","0.0393"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","海賊退治","3","17","0","118053","159.964","1","8","1","9.78e-05","0.509","0.516","0.937","0.157","-12.493","0.025","0.357"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","「戴冠式」","3","18","0","77547","145.691","4","5","1","0.856","0.354","0.269","0.997","0.22","-12.475","0.0307","0.0439"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","水のほとりに集いし我ら","3","19","0","146653","203.97","3","9","0","0.111","0.244","0.377","0.0867","0.275","-12.66","0.031","0.294"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","勝負!","3","20","0","88547","130.948","4","0","1","0.572","0.81","0.59","0.95","0.075","-15.199","0.0795","0.754"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","机の上の戦争","3","21","0","66320","119.801","4","0","1","0.124","0.579","0.31","7.2e-05","0.252","-14.576","0.103","0.715"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","竜馬操技演習","3","22","0","104227","143.979","4","4","0","0.000335","0.491","0.752","0.823","0.0712","-11.171","0.0485","0.448"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","軍事要塞","3","23","0","117280","75.964","4","0","1","0.511","0.426","0.22","0.744","0.157","-13.163","0.0285","0.167"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","反撃","3","24","0","136507","128.992","4","9","0","0.0395","0.585","0.496","0.869","0.268","-11.638","0.0284","0.489"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","生か死か","3","25","1","114067","82.023","4","5","1","0.00277","0.409","0.758","0.509","0.305","-12.858","0.0686","0.409"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","悲痛","3","26","0","104787","89.928","4","6","0","0.433","0.144","0.339","0.894","0.116","-10.332","0.0333","0.0544"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","決意 ~悲壮な戦い~","3","27","1","156067","157.102","4","9","0","0.0198","0.353","0.564","0.98","0.202","-13.045","0.0298","0.313"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","白き魔術師 ~彼方の星~","3","28","0","148373","76.303","4","9","0","0.954","0.254","0.122","0.962","0.0828","-16.851","0.0321","0.0385"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","突撃!","3","29","0","146227","81.058","4","6","1","0.56","0.497","0.29","0.881","0.181","-13.709","0.0341","0.785"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","裏切り","3","30","0","112280","169.974","3","7","0","0.0216","0.0883","0.23","0.938","0.192","-11.146","0.0304","0.088"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","決別","3","31","0","159440","76.028","5","11","0","0.38","0.184","0.336","0.655","0.342","-11.54","0.0346","0.244"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","最深部","3","32","0","88720","143.943","3","9","0","0.856","0.527","0.26","0.017","0.0838","-14.764","0.0323","0.382"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","堅牢なる城","3","33","0","80813","106.554","3","0","1","0.923","0.189","0.179","0.885","0.347","-12.883","0.0351","0.0661"
